russian,english
я,I
не,Not
что,What
в,V
и,And
ты,You
это,This
на,on
с,With
он,He
мы,We
как,How
вы,You
да,Yes
мне,to me
у,u
нет,No
меня,me
так,So
но,But
а,A
его,his
все,All
она,she
тебя,you
о,O
если,If
за,behind
бы,would
тебе,you
они,They
чтобы,to
же,the same
есть,There is
просто,Just
из,from
к,To
для,For
ну,Well
когда,When
хорошо,Fine
здесь,Here
по,By
был,was
знаю,I know
то,That
только,only
всё,All
было,was
вас,you
может,Maybe
нас,us
вот,Here
от,from
быть,be
кто,Who
будет,will
почему,Why
вам,to you
их,their
очень,Very
могу,Can
уже,already
спасибо,Thank you
или,or
нам,us
еще,more
там,there
нужно,need to
сейчас,Now
где,Where
чем,how
хочу,Want
ничего,Nothing
этого,this
была,was
мой,my
ее,her
ладно,OK
знаешь,You know
п,P
до,before
этом,this
потому,That's why
теперь,Now
думаю,Think
больше,more
её,her
со,CO
раз,once
ему,to him
надо,necessary
время,time
этот,this
ли,Lee
ещё,more
пока,Bye
даже,even
привет,Hello
сказал,said
себя,myself
должен,must
тоже,Same
хочешь,Want
давай,Let's
что-то,something
никогда,never
эй,Hey
того,Togo
тогда,Then
него,him
ни,Neither
тут,here
были,were
конечно,Certainly
правда,Truth
об,about
моя,my
пожалуйста,Please
тобой,you
сказать,say
сегодня,Today
один,one
лучше,better
можешь,can
сюда,here
мной,me
значит,Means
сделать,do
всегда,Always
дело,case
можно,Can
ей,to her
должны,must
порядке,order
без,without
день,day
том,volume
буду,will
делать,do
хотел,I wanted to
чего,what
эти,these
много,a lot of
после,after
этим,This
всего,Total
во,in
твой,is yours
ним,him
лет,years
боже,God
них,them
сэр,sir
ведь,after all
мистер,Mister
жизнь,life
потом,Then
ней,her
такой,such
который,which
всех,All
через,through
им,them
возможно,Maybe
немного,A little
такое,Such
слишком,too much
себе,yourself
зачем,For what
должна,must
моей,mine
люди,People
знаете,You know
этой,this
думаешь,You think
свою,my
точно,Exactly
человек,Human
твоя,yours
под,under
сказала,said
назад,back
из-за,because of
эту,This
можем,Can
случилось,It happened
мама,Mother
мог,Could
вместе,together
отец,father
сделал,did
мои,my
кажется,Seems
друг,Friend
куда,Where
никто,nobody
поэтому,That's why
эта,this
которые,which
два,two
тот,That
сколько,How many
понимаю,Understand
снова,again
жизни,life
нравится,like
людей,of people
помочь,help
видел,saw
люблю,I love
хочет,wants
место,place
кто-то,somebody
прости,sorry
отлично,Great
похоже,Seems like
парень,boy
домой,home
всем,All
деньги,money
иди,Go
времени,time
дома,Houses
именно,exactly
доктор,doctor
думал,thought
говорил,said
делаешь,You do
будем,We will
прямо,directly
стоит,costs
поговорить,talk
найти,find
разве,Is it
слушай,Listen
своей,his
лишь,only
ага,Yeah
можете,You can
простите,Sorry
хотела,I wanted to
сам,myself
что-нибудь,anything
тем,those
будешь,You will
прошу,I beg
три,three
деле,business
хотите,want to
говорить,speak
давайте,Let's
совсем,at all
знал,He knew
знает,He knows
какой,Which
моего,mine
скажи,Tell
дом,house
дела,affairs
вами,you
свои,their
ж,and
говорит,speaks
несколько,some
должно,must
про,pro
ваш,your
происходит,is happening
жаль,it's a pity
туда,there
действительно,really
папа,dad
завтра,Tomorrow
оно,it
черт,crap
одна,one
перед,before
наш,our
уверен,sure
отсюда,From here
нужна,Need
самом,yourself
тех,those
нужен,Need
свой,mine
мою,mine
кого,whom
верно,right
работу,work
каждый,every
твоей,yours
будут,will be
хватит,enough
понял,Understood
нее,her
уж,Well
имя,Name
против,against
кое-что,something
пор,por
чём,how
раньше,earlier
говорю,I say
более,more
надеюсь,Hope
итак,So
при,at
ваша,Your
вообще,at all
пошли,went
мать,mother
нельзя,it is forbidden
наверное,Maybe
нами,us
твои,yours
могли,Could
дай,give
ради,for the sake
всю,All
ребята,Guys
ко,ko
хотя,Although
понимаешь,understand
идти,go
этих,These
откуда,where
такая,Such
ясно,It's clear
другой,another
извините,Sorry
вижу,I see
видеть,see
над,above
могут,can
равно,equals
мисс,Miss
скоро,soon
будто,Like
зовут,The name is
виду,sight
наши,our
думала,I thought
послушай,listen
между,between
своего,your own
вопрос,question
этому,this
почти,almost
года,of the year
человека,man
которая,which
подожди,Wait
руки,hands
нормально,Fine
такие,such
возьми,Take it
минут,minutes
извини,Sorry
вещи,things
могла,Could
смотри,Look
хоть,though
работа,Job
пару,pair
сын,son
ваше,yours
дня,Day
пора,It's time
неё,Her
жить,live
видишь,You see
достаточно,enough
господи,God
быстро,fast
твою,yours
весь,All
убить,Kill
ночь,night
говоришь,You say
собой,yourself
скажу,I will say
готов,ready
слышал,heard
какая,which
посмотри,look
первый,first
самое,Most
видела,I saw
пусть,let
месте,place
нашли,Found
сказали,They said
плохо,Badly
смогу,I can
ваши,Yours
отца,Father
детей,children
знаем,We know
рад,glad
прав,right
никаких,No
имею,I have
миссис,Mrs.
иногда,Sometimes
смерти,of death
своих,their own
пойду,I'll go
брат,Brother
вроде,like
рядом,near
мир,world
произошло,happened
которую,which
сделала,I did it
говорила,She said
знала,I knew
мое,my
одного,one
таким,So
помощь,help
такого,Such
кем,by whom
насчет,about
вчера,yesterday
случае,case
увидеть,see
нашей,ours
говорят,They say
правильно,Right
убил,Killed
одно,One
пойти,Go
друга,friend
сама,herself
долго,for a long time
работать,work
дверь,door
делает,does
женщина,woman
важно,important
кроме,except
будь,Be
собираюсь,going to
вашей,yours
нужны,Need
здорово,Great
номер,number
проблема,problem
проблемы,Problems
денег,money
чёрт,crap
хороший,good
твоего,yours
одну,One
дальше,further
вернуться,return
давно,for a long time
последний,last
ночи,nights
узнать,to know
уверена,sure
машину,car
права,rights
пять,five
моих,mine
также,Also
тому,that
вечером,In the evening
дети,children
опять,again
вообще-то,Actually
серьезно,seriously
работает,works
своим,his own
сначала,at first
две,Two
одной,one
моим,mine
те,those
жена,wife
думаете,Think
помнишь,Remember
глаза,eyes
ними,them
чувак,dude
ночью,at night
чувствую,feel
взять,take
сразу,straightaway
утром,in the morning
часть,Part
придется,have to
стать,become
идея,idea
дорогая,Expensive
прекрасно,Wonderful
слова,words
сделали,done
видели,saw
наша,our
сердце,heart
помню,I remember
парня,guy
момент,moment
утро,morning
здравствуйте,Hello
стал,became
скорее,quicker
ох,Oh
большой,big
кто-нибудь,Someone
часов,hours
год,year
друзья,Friends
сильно,strongly
говори,Speak
смысле,Meaning
которой,which
уйти,Leave
которого,whom
капитан,captain
работы,work
любовь,Love
дочь,daughter
новый,new
боюсь,I'm afraid
имеет,It has
стой,Stop
дней,days
той,that
голову,head
ах,Oh
столько,so many
понятно,It's clear
дать,give
девушка,young woman
довольно,enough
доме,house
вечер,evening
оба,both
пойдем,let's go to
увидимся,see you
шанс,chance
хорошая,Good
прежде,Before
сделаю,I will do it
какого,what
быстрее,faster
понять,understand
рассказать,tell
вашего,your his
бог,God
интересно,Interesting
затем,then
умер,died
обо,about
никого,Nobody
парни,Guys
самый,most
твое,your
вон,There
пришел,Came
чтоб,so
поверить,Believe
слово,word
будете,You will
нашел,found
милая,Darling
странно,Weird
какие,which
ой,Ouch
та,that
однажды,one day
сможешь,You can
получить,get
обычно,usually
ума,mind
полагаю,I suppose
алло,Hello
посмотреть,look
иначе,otherwise
наших,ours
тело,body
хотели,They wanted
свое,Own
пришли,They came
моё,my
другие,other
выглядит,It looks
подумал,Thought
лицо,face
приятно,Nice
мам,Mom
говорите,Speak
обратно,back
нашего,ours
телефон,telephone
мире,world
честь,honor
господин,Mr.
доброе,Kind
план,plan
другом,friend
час,hour
джон,John
пути,ways
делал,did
типа,type
посмотрим,We'll see
насколько,How much
пытался,had tried
правду,Truth
решил,decided
поздно,late
нем,him
работе,work
любит,loves
хотят,They want
кому,to whom
сестра,sister
какой-то,Someone
места,places
кого-то,Someone
скажешь,Say
следующий,next
других,others
получил,received
кстати,By the way
говорили,They said
пришла,Came
безопасности,security
рада,glad
когда-нибудь,some day
город,city
внимание,attention
кофе,coffee
которое,which
вся,all
семья,family
конец,end
позже,Later
дал,gave
думать,think
спать,sleep
вернулся,He returned
остаться,stay
некоторые,some
кровь,blood
оружие,weapon
пришлось,I had to
хуже,worse
дорогой,Expensive
полиция,police
сможем,We can
понимаете,You see
четыре,four
которых,which
ужасно,terrible
ждать,wait
способ,way
делаю,I do
готовы,ready
совершенно,Absolutely
смотреть,look
вернусь,I'll be back
большое,Big
единственный,the only one
вперед,forward
часа,hours
где-то,somewhere
муж,husband
идет,goes
таких,Such
ребенка,child
машина,car
стороны,Parties
смог,smog
сына,son
играть,play
сами,yourself
верю,I believe
честно,Honestly
нашла,Found
звучит,Sounds
угодно,Most
как-то,Somehow
руку,hand
начала,Beginning
перевод,translation
какое,which
взял,I took it
станет,will become
пытаюсь,Trying
внутри,inside
знали,They knew
новости,news
добрый,Kind
подождите,Wait
скажите,Tell
ребенок,child
вашу,yours
мальчик,boy
осталось,left
делаете,Do
году,year
мере,Meres
поняла,Understood
отношения,relationship
далеко,far
вокруг,around
хотим,We want
слышала,I heard
двух,Two
приятель,buddy
никому,nobody
мужчина,man
неделю,A week
вернуть,return
смерть,death
сих,These
ту,that
сможет,will be able
the,The
дайте,give
двое,two
видите,See
долларов,dollars
крови,blood
решение,solution
путь,path
следует,should
неужели,Really
около,near
готова,Ready
семьи,families
идем,Come
смотрите,Look
круто,Cool
история,story
вдруг,all of a sudden
спросить,ask
i,I
твоих,yours
второй,second
вина,guilt
джек,Jack
женщины,women
нашу,ours
заткнись,shut up
минуту,A minute
собираешься,You are going
твоим,yours
шоу,show
прощения,Forgiveness
больно,hurt
машины,cars
пап,dad
трудно,difficult
постоянно,constantly
поможет,will help
проблем,problems
например,For example
дерьмо,shit
полиции,police
начать,begin
знают,Know
лучший,best
добро,good
спасти,save
рождения,birth
оставить,leave
чарли,Charlie
любишь,You love
конце,end
забыл,forgot
месяцев,months
часто,often
мило,cute
комнате,room
нему,him
матери,Mother
милый,Cute
полностью,fully
школе,school
леди,lady
серьёзно,seriously
убили,Killed
случай,happening
джо,Joe
убийство,murder
послушайте,Listen
посмотрите,Look
пошел,Go
никакого,No
сделаем,Let's do it
говоря,speaking
неплохо,not bad
использовать,use
прошлой,past
иду,I'm going
узнал,I learned
прекрати,Stop
чуть,A little
держи,Hold it
невозможно,impossible
господа,Gentlemen
слушайте,Listen
наше,is our
машине,car
сэм,Sam
свет,light
образом,way
иметь,have
другое,Other
другого,another
шесть,six
людям,people
погоди,wait a minute
имени,name
детка,Babe
недели,weeks
меньше,less
легко,easily
крайней,extreme
девочка,girl
придётся,have to
мало,few
ненавижу,I hate
you,You
последние,The latter
насчёт,about
выглядишь,are looking
сообщение,message
думает,Thinking
друзей,friends
обещаю,I promise
агент,agent
вместо,instead of
последнее,last thing
самого,yourself
настолько,so
ответ,answer
детектив,detective
понятия,concepts
родители,parents
показать,show
поехали,go
стало,It became
мэм,ma'am
своими,your own
всей,All
очевидно,obviously
помогите,Help
маленький,small
школу,School
пожаловать,Hard
твоё,your
либо,or
забрать,take
прошло,passed
особенно,especially
имеешь,You have
истории,stories
эм,Em
вопросы,questions
большая,Big
минутку,Minute
пол,floor
остановить,stop
чему,what
свидания,Dates
обязательно,Necessarily
городе,city
убийца,murderer
сделай,Do It
a,a
ваших,yours
любви,love
спокойной,calm
б,b
своё,your own
мадам,Madame
идите,Go
выйти,go out
делают,do
немедленно,immediately
делай,Do
возможность,opportunity
человеком,man
бывает,It happens
ужин,dinner
моем,mine
купить,buy
позвонить,Call
наконец,finally
стала,I became
любой,any
клянусь,I swear
смешно,funny
абсолютно,absolutely
всему,everything
переводчики,Translators
забудь,forget
секунду,give me a sec
выбор,choice
тысяч,thousands
потерял,lost
майкл,Michael
волнуйся,worry
ноги,legs
таком,So
настоящий,real
означает,means
встретиться,Meet
известно,It is known
работаю,Working
замечательно,Amazing
любом,Anyone
оставь,Leave
связи,connection
боль,pain
выпить,drink
представить,introduce
убийства,murders
малыш,Baby
умерла,Died
воды,water
окей,OK
речь,speech
хорошие,good
поводу,reason
перестань,stop
увидел,saw
повезло,Lucky
президент,the president
мужик,man
которым,which
прошлом,past
дам,I will give
десять,ten
умереть,die
поговорим,Let's talk
отцом,Father
искать,search
тихо,quiet
оставил,left
пистолет,gun
начал,began
сложно,difficult
города,cities
неделе,week
хотелось,I wanted to
принять,accept
историю,History
босс,boss
держать,hold
пойдём,let's go to
подумала,I thought
фильм,movie
слышишь,You hear
рано,early
удачи,Good luck
еду,I'm going
словно,Like
причина,cause
пришёл,Came
э,e
компании,Company
спокойно,calmly
работал,have worked
подумать,Think
вести,News
вещь,thing
брата,brother
конца,end
получится,It will turn out
блин,Crap
право,right
ввиду,In view of
бога,God
по-моему,In my
подарок,present
комнату,room
мира,Mira
успокойся,calm down
позволить,allow
моему,mine
идёт,It goes
самая,The most
рассказал,told
курсе,Course
намного,much
мистера,Mr.
женщин,women
тяжело,hard
ух,Wow
предложение,offer
одним,one
счет,check
улице,street
другим,others
уходи,leave
майк,Mike
среди,among
помоги,Help
получилось,happened
месяц,month
проверить,check
генри,Henry
голос,voice
позвольте,Let me
стороне,side
вероятно,probably
случится,will happen
уверены,sure
мужа,husband
питер,Peter
провести,conduct
людьми,people
наконец-то,finally
неважно,doesn't matter
нашёл,found
м,m
доктора,the doctors
месяца,months
игра,a game
идём,Let's go
нём,him
джордж,George
познакомиться,познакомиться
возьму,I'll take it
слышали,heard
пошла,I went
корабль,ship
чувствуешь,Feel
позволь,allow me
сторону,side
игры,games
согласен,agree
письмо,letter
вниз,down
молодец,Well done
наверняка,Surely
утра,morning
вашим,Yours
нечего,nothing
встречи,Meetings
вид,view
никакой,no
связь,connection
список,list
такую,Such
весело,funny
сидеть,sit
гораздо,much
собирался,I was going
впервые,first
находится,located
объяснить,explain
полицию,Police
решили,decided
семью,family
свидание,date
остальные,rest
прийти,come
руках,hands
фбр,FBI
чувство,feeling
котором,which
решила,I decided
понадобится,You will need it
сынок,son
найду,I will find
фрэнк,Frank
школы,schools
чувства,feelings
дядя,uncle
стали,become
ушла,Left
первым,First
поверь,Believe me
расскажи,Tell
хочется,I want to
девушки,Girls
сон,dream
имел,had
каким,What
парнем,guy
многие,many
части,parts
ехать,drive
считаю,I think
никуда,Nowhere
голове,head
старый,old
оттуда,From there
чем-то,something
вопросов,questions
фото,photo
пройти,pass the
заниматься,study
другу,friend
вернулась,Returned
пара,pair
никак,no way
девочки,girls
благодарю,Thank you
своем,your own
недавно,recently
приехал,I arrived
глаз,eye
могло,Could
становится,It becomes
пыталась,I tried
является,is
брось,Throw
богу,God
ы,s
нашим,ours
помощи,help
волосы,hair
невероятно,Incredible
одном,One
ушел,gone
джейн,Jane
to,to
тела,bodies
недель,weeks
собирается,Gathering
защитить,protect
всеми,All
существует,exists
жив,alive
первая,First
позвоню,I'll call
благодаря,thanks to
вперёд,forward
навсегда,forever
помните,Remember
земле,Earth
делу,business
вполне,quite
пытается,Trying
будущее,future
семь,seven
своему,to your own
ок,OK
идиот,idiot
слава,glory
стоило,It was worth it
удалось,managed
делаем,We do
команда,team
главное,The main thing
огонь,fire
дэнни,Danny
замуж,Marry
начали,Started
мужчины,men
кого-нибудь,someone
силы,strength
семье,family
шеф,chef
суд,court
слышу,I hear
тюрьме,prison
попробовать,Try
друзьями,friends
алекс,Alex
вашем,yours
новая,New
маленькая,small
черта,The devil
придет,will come
страшно,scary
услышать,hear
новые,New
общем,general
звонил,Called
купил,bought
понравится,I like it
близко,close
самой,yourself
смысл,meaning
хорошее,Good
любил,I loved
сара,Sarah
единственная,The only one
делали,did
макс,Max
мэри,Mary
жду,I am waiting
получается,it turns out
хорошего,Good
эми,Amy
дамы,Ladies
жену,wife
гарри,Harry
неправильно,wrong
стоять,stand
плевать,spit
ключ,key
верить,believe
лично,personally
слышать,hear
взяли,have taken
поздравляю,Congratulations
пить,drink
заставить,Make it
получили,got
рот,mouth
делала,I did it
преступления,crimes
двери,Doors
землю,Earth
разумеется,Of course
очередь,queue
первой,First
разговор,talk
видимо,Apparently
звонок,Call
джеймс,James
s,S.
менее,less
нового,New
получила,received
хм,Hm
подальше,away
какая-то,Someone
сможете,You can
похож,Similar
состоянии,condition
необходимо,necessary
адвокат,advocate
касается,concerns
секунд,seconds
стоп,stop
дали,Dali
оставаться,stay
сделает,will do it
ходить,walk
помощью,help
хватает,Enough
изменить,change
король,king
народ,people
новую,New
девушку,girl
живет,Lives
секс,sex
сделаешь,You will do it
думали,Thought
нашем,ours
попасть,get
каждого,Everyone
другую,Another
просил,He asked
пошёл,I went
войны,War
случайно,accidentally
игру,game
мертв,dead
держись,Hold on
забыла,Forgot
цель,target
минуты,minutes
месье,Monsieur
выше,higher
однако,however
женщину,Woman
раза,times
мысли,thoughts
выход,exit
платье,dress
вовсе,At all
пришло,It came
женой,wife
ребёнка,child
сожалею,regret
твоем,yours
осторожно,carefully
смогла,I was able
этими,These
стану,I will become
маме,Mom
парней,guys
нравятся,I like it
покое,Sour
поехать,Go
садись,Sit down
миллионов,millions
отличный,great
ребёнок,child
дочери,Daughters
дороги,Roads
ого,Wow
ха,Ha
нечто,something
первое,first
выяснить,to figure out
ник,Nick
информацию,information
офис,office
какое-то,Someone
записи,Records
лучшее,the best
течение,flow
вечеринку,Party
убью,I will kill
годы,years
забыть,forget
правила,rules
сожалению,Unfortunately
какие-то,Some
слов,words
джимми,Jimmy
дни,Days
дала,Dal
жизнью,life
совет,advice
занят,busy
кем-то,Someone
попробуй,try
подруга,girlfriend
расскажу,I'll tell you
целый,whole
красивая,beautiful
попросил,I asked
вышел,came out
удар,hit
вещей,of things
адрес,address
дэвид,David
оставьте,Leave
сержант,sergeant
увидишь,You will see
виноват,To blame
разница,difference
открыть,open
написал,wrote
ждет,Waiting
новое,new
счастлив,happy
вау,Wow
выбора,choice
продолжай,continue
задницу,ass
покажу,I will show
единственное,the only thing
доверять,trust
встреча,meeting
убивать,kill
концов,The ends
обоих,both
будьте,Be
останется,will remain
тюрьму,prison
наверно,maybe
ищу,looking for
момента,moment
обед,dinner
лица,faces
видео,video
стойте,Stand
взяла,I took it
подождать,wait
считает,He thinks
вечно,forever
покажи,Show me
бен,Ben
книгу,book
многое,much
земли,Earth
дел,cases
какую,what
поскольку,because the
узнала,I found out
сильнее,stronger
жены,wives
встречу,Meeting
весьма,Very
блядь,Damn
поняли,understood
родителей,parents
оу,OU
лейтенант,lieutenant
глупо,Stupid
узнает,Learn
думают,Think
сезон,season
снаружи,outside
голова,head
мамой,Mom
заняться,do
кино,movie
вечера,Evenings
свете,light
выйдет,It will come out
восемь,eight
найдем,Find
помогу,I will help
больницу,hospital
больнице,hospital
магазин,shop
тони,Tony
заметил,I noticed
договорились,Deal
слушать,listen
бизнес,business
примерно,approximately
уехать,Leave
мамы,Mom
позвонил,I called
выходит,It turns out
когда-либо,ever
маму,Mom
документы,documentation
попал,I got it
шаг,step
отпусти,Let go
смотрю,I'm watching
здравствуй,Hello
понравилось,liked
смогли,They were able
правы,right
большие,Big
рассказала,told
идут,Go
готово,ready
плохой,bad
офицер,Officer
узнали,learned
скажет,Say
сюрприз,surprise
внимания,attention
вышло,It turned out
дорогу,The road
считаешь,You think
фотографии,photos
вода,water
делом,business
каком,which one
полный,full
следующей,next
доказать,prove
захочешь,If you want
книги,Books
война,war
планы,Plans
мысль,thought
веришь,Believe
видно,it is seen
скажем,Let's say
большинство,majority
ребят,Guys
продолжать,continue
ранее,previously
жертвы,victims
ближе,closer
качестве,quality
двигаться,move
написано,Written
чувствовать,feel
хорош,good
любить,be in love
величество,Majesty
головы,heads
дороге,road
попросить,Ask
времена,time
подумай,Think
забавно,Funny
главный,main
внизу,at the bottom
каждую,Each
остался,remained
вставай,Get up
мнение,opinion
твоему,Your
часы,watch
вряд,unlikely
постой,Wait
сомневаюсь,I doubt
отдай,Give it
вечеринка,party
ошибка,error
приехали,Arrived
бросил,He threw it
вернется,will return
профессор,Professor
любят,Love
ключи,Keys
подходит,fits
беги,Run
ничто,nothing
поле,field
